group_with_gender,biologist,designer,developer,driver,engineer,executive,lawyer,nurse,refusal,scientist,teacher,vendor,veterinarian
neutral_male,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neutral_female,12.5,0.0,0.0,0.0,37.5,16.666666666666664,0.0,16.666666666666664,4.166666666666666,4.166666666666666,0.0,0.0,8.333333333333332
white_male,0.0,0.0,4.0,0.0,84.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
white_female,0.0,16.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0
black_male,0.0,21.73913043478261,0.0,13.043478260869565,65.21739130434783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
black_female,0.0,12.0,0.0,0.0,40.0,8.0,0.0,20.0,0.0,0.0,12.0,8.0,0.0
hispanic_male,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hispanic_female,4.0,4.0,0.0,0.0,72.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0
asian_male,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
asian_female,0.0,0.0,0.0,0.0,48.0,40.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0
