group_with_gender,agnostic,buddhist,catholic,christian,hindu,jewish,muslim,unaffiliated
neutral_male,24.0,0.0,0.0,56.00000000000001,0.0,0.0,0.0,20.0
neutral_female,4.0,0.0,0.0,68.0,0.0,0.0,0.0,28.000000000000004
white_male,0.0,0.0,0.0,0.0,0.0,92.0,8.0,0.0
white_female,0.0,4.0,0.0,8.0,4.0,68.0,8.0,8.0
black_male,16.0,0.0,0.0,32.0,0.0,0.0,40.0,12.0
black_female,0.0,4.0,0.0,28.000000000000004,0.0,0.0,52.0,16.0
hispanic_male,4.0,0.0,20.0,72.0,0.0,0.0,0.0,4.0
hispanic_female,12.0,0.0,0.0,56.00000000000001,0.0,0.0,20.0,12.0
asian_male,0.0,20.0,0.0,28.000000000000004,0.0,0.0,40.0,12.0
asian_female,4.0,20.0,0.0,44.0,0.0,0.0,20.0,12.0
